,Invoice ID,Branch,Yangon,Naypyitaw,Mandalay,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating
0,750-67-8428,A,1,0,0,Normal,Male,Health and beauty,74.69,7,26.1415,548.9714999999999,2019-01-05,13:08,Ewallet,9.1
1,226-31-3081,C,0,1,0,Normal,Male,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,10:29,Cash,9.6
2,631-41-3108,A,1,0,0,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03,13:23,Credit card,7.4
4,373-73-7910,A,1,0,0,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,10:37,Ewallet,5.3
5,699-14-3026,C,0,1,0,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,18:30,Ewallet,4.1
6,355-53-5943,A,1,0,0,Normal,Male,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,14:36,Ewallet,5.8
7,315-22-5665,C,0,1,0,Normal,Male,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38,Ewallet,8.0
8,665-32-9167,A,1,0,0,Normal,Male,Health and beauty,36.26,2,3.6260000000000048,76.146,2019-01-10,17:15,Credit card,7.2
9,692-92-5582,B,0,0,1,Normal,Male,Food and beverages,54.84,3,8.226,172.746,2019-02-20,13:27,Credit card,5.9
10,351-62-0822,B,0,0,1,Normal,Male,Fashion accessories,14.48,4,2.896,60.816,2019-02-06,18:07,Ewallet,4.5
11,529-56-3974,B,0,0,1,Normal,Male,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,17:03,Cash,6.8
12,365-64-0515,A,1,0,0,Normal,Male,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,10:25,Ewallet,7.1
13,252-56-2699,A,1,0,0,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2019-02-07,16:48,Ewallet,8.2
14,829-34-3910,A,1,0,0,Normal,Male,Health and beauty,71.38,10,35.69,749.49,2019-03-29,19:21,Cash,5.7
15,299-46-1805,B,0,0,1,Normal,Male,Sports and travel,93.72,6,28.116,590.436,2019-01-15,16:19,Cash,4.5
